"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-01","5.59",",,W","0.00","T,,W,2400","0.0",",,W,2400","0",",,W,2400",,,"48",",,W","40",",,W","  260",",,W","  310",",,W","15.0",",,W","23.0",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-02","9.17",",,W","0.21",",,W,2400","0.0","T,,W,2400","0",",,W,2400",,,"41",",,W","37",",,W","   70",",,W","   70",",,W","17.0",",,W","25.1",",,W","    1",",,W",,,"    1",",,W",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-03","10.74",",,W","0.58",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"43",",,W","39",",,W","   70",",,W","   60",",,W","21.0",",,W","30.0",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-04","8.05",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"52",",,W","34",",,W","  280",",,W","  290",",,W","23.9",",,W","36.0",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-05","7.83",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"34",",,W","27",",,W","  250",",,W","  290",",,W","17.0",",,W","27.1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-06","4.70",",,W","0.05",",,W,2400","1.2",",,W,2400","1",",,W,2400",,,"33",",,W","25",",,W","  360",",,W","   20",",,W","10.1",",,W","16.1",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-07","7.61",",,W","0.32",",,W,2400","5.1",",,W,2400","0","T,,W,2400",,,"26",",,W","20",",,W","  350",",,W","  330",",,W","17.0",",,W","25.1",",,W","    1",",,W","    1",",,W",,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-08","8.72",",,W","0.00",",,W,2400","0.0",",,W,2400","4",",,W,2400",,,"25",",,W","16",",,W","  290",",,W","  280",",,W","18.1",",,W","30.0",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-09","5.14",",,W","0.00",",,W,2400","0.0",",,W,2400","3",",,W,2400",,,"23",",,W","14",",,W","  250",",,W","  250",",,W","13.0",",,W","21.9",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-10","4.70",",,W","0.00",",,W,2400","0.0",",,W,2400","3",",,W,2400",,,"46",",,W","21",",,W","  180",",,W","  170",",,W","14.1",",,W","23.9",",,W",,,,,,,,,,
